sex,length,diameter,heigth,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7
F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11
I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11
F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11
M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15
M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8
F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8
F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10
M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12
F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11
M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16
M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13
F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12
F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9
I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8
F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13
I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7
F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9
F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9
F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10
F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9
F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7
I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7
F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11
F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15
M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13
M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14
M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22
I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7
I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9
I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3
I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5
I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8
I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10
I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13
I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9
I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7
I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,7
I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13
F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15
M,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,15
M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15
M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19
M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10
F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15
F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11
F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11
I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4
M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6
F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11
M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14
M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8
M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10
M,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10
M,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12
F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
M,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4
M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9
I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15
M,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13
F,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
M,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7
M,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,9
M,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7
M,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,10
I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,18
F,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12
F,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17
I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
F,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12
F,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10
F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8
I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21
M,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,10
I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9
F,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
I,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,9
M,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9
M,0.355,0.265,0.09,0.168,0.05,0.041,0.063,8
M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7
M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13
M,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7
I,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13
F,0.59,0.45,0.16,0.9,0.358,0.156,0.315,19
M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7
M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
I,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11
M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6
M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
I,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11
F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
M,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5
I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6
I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11
M,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,7
F,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
M,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7
F,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17
F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16
I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18
F,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11
I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
I,0.535,0.45,0.17,0.781,0.3055,0.1555,0.295,11
F,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
M,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9
M,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,12
F,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
M,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9
F,0.625,0.49,0.155,1.2085,0.465,0.162,0.411,11
F,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11
M,0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,14
M,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9
F,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,10
F,0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,9
F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
M,0.65,0.525,0.175,1.4715,0.675,0.315,0.399,11
M,0.655,0.52,0.165,1.4095,0.586,0.291,0.405,9
M,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,17
M,0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,15
M,0.66,0.52,0.19,1.558,0.755,0.298,0.4,10
F,0.67,0.585,0.16,1.309,0.5445,0.2945,0.413,10
F,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12
F,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,9
F,0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
F,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11
F,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,11
M,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17
I,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6
I,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5
I,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3
I,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,6
I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6
I,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,4
I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5
I,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4
I,0.3,0.23,0.095,0.1385,0.056,0.0365,0.037,6
I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,5
I,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,6
I,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,8
I,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,5
I,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6
I,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6
I,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,7
I,0.335,0.25,0.075,0.186,0.0945,0.038,0.0445,7
I,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,5
I,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,7
I,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7
I,0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6
I,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7
I,0.375,0.28,0.09,0.215,0.084,0.06,0.055,6
I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,6
I,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,7
I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7
I,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,6
I,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6
I,0.42,0.32,0.115,0.376,0.169,0.092,0.1,5
I,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6
I,0.425,0.34,0.1,0.382,0.164,0.096,0.1,6
I,0.425,0.315,0.1,0.377,0.1645,0.072,0.105,6
I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
I,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,8
I,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6
I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
I,0.44,0.325,0.09,0.35,0.148,0.067,0.105,7
F,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7
I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7
I,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,8
I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
M,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10
M,0.615,0.5,0.17,1.054,0.4845,0.228,0.295,10
F,0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035,12
M,0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10
M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,9
F,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10
M,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,10
M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10
F,0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,10
M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9
F,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11
F,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9
F,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,12
F,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9
I,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,11
M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,12
I,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10
M,0.63,0.495,0.16,1.093,0.497,0.221,0.315,12
M,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,10
F,0.635,0.5,0.165,1.4595,0.705,0.2645,0.39,9
F,0.635,0.495,0.175,1.211,0.707,0.2725,0.323,9
M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10
M,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10
M,0.64,0.565,0.23,1.521,0.644,0.372,0.406,15
M,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10
M,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,11
M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10
M,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,11
F,0.65,0.505,0.165,1.16,0.4785,0.274,0.349,11
F,0.65,0.59,0.22,1.662,0.77,0.378,0.435,11
M,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,11
M,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,9
F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10
F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10
M,0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,13
F,0.655,0.52,0.19,1.4545,0.6,0.3865,0.383,10
M,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,10
F,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,10
F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,10
F,0.665,0.53,0.18,1.491,0.6345,0.342,0.435,10
F,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,11
F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
M,0.675,0.545,0.185,1.7375,0.876,0.3135,0.469,13
M,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,9
I,0.575,0.45,0.125,0.78,0.3275,0.188,0.235,9
M,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,10
F,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
I,0.575,0.445,0.17,0.8015,0.3475,0.1465,0.25,9
I,0.575,0.45,0.135,0.807,0.3615,0.176,0.254,10
F,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8
M,0.575,0.445,0.16,0.839,0.4005,0.198,0.239,9
M,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13
F,0.58,0.435,0.15,0.834,0.428,0.1515,0.23,8
M,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,10
M,0.58,0.43,0.13,0.798,0.365,0.173,0.2285,10
I,0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,9
F,0.585,0.445,0.14,0.913,0.4305,0.2205,0.253,10
M,0.59,0.49,0.165,1.207,0.559,0.235,0.309,10
I,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10
I,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
F,0.595,0.435,0.15,0.9,0.4175,0.17,0.265,8
M,0.595,0.45,0.14,0.838,0.3965,0.194,0.217,10
M,0.595,0.45,0.145,0.959,0.463,0.2065,0.2535,10
I,0.595,0.46,0.15,0.8335,0.377,0.1925,0.235,8
F,0.6,0.46,0.155,0.9735,0.427,0.2045,0.3,8
F,0.6,0.475,0.15,1.13,0.575,0.196,0.305,9
M,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9
I,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8
F,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,10
M,0.6,0.47,0.165,1.059,0.504,0.241,0.275,9
M,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,10
F,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,9
M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
I,0.605,0.47,0.145,0.8025,0.379,0.2265,0.22,9
F,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,8
F,0.605,0.47,0.155,0.974,0.393,0.224,0.3345,9
F,0.605,0.505,0.18,1.434,0.7285,0.264,0.431,11
M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10
F,0.61,0.465,0.16,1.0725,0.4835,0.2515,0.28,10
F,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085,12
M,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,9
F,0.61,0.475,0.16,1.1155,0.3835,0.223,0.379,10
I,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9
M,0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31,9
F,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,7
M,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,10
M,0.615,0.475,0.175,1.224,0.6035,0.261,0.311,9
I,0.62,0.485,0.18,1.154,0.4935,0.256,0.315,12
F,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,12
M,0.62,0.515,0.175,1.221,0.535,0.241,0.395,13
F,0.62,0.54,0.165,1.139,0.4995,0.2435,0.357,11
I,0.62,0.49,0.16,1.066,0.446,0.246,0.305,11
F,0.62,0.48,0.18,1.2215,0.582,0.2695,0.313,12
I,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,9
I,0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,10
M,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309,12
F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,9
M,0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,11
M,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10
M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,9
I,0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145,12
F,0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705,10
I,0.625,0.485,0.15,1.044,0.438,0.2865,0.278,9
M,0.63,0.505,0.17,1.0915,0.4615,0.266,0.3,9
F,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8
M,0.63,0.49,0.17,1.1745,0.5255,0.273,0.339,11
F,0.54,0.425,0.16,0.9455,0.3675,0.2005,0.295,9
I,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9
I,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,8
I,0.545,0.425,0.14,0.8145,0.305,0.231,0.244,10
I,0.545,0.43,0.14,0.687,0.2615,0.1405,0.25,9
I,0.55,0.435,0.14,0.7995,0.295,0.1905,0.238,10
I,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6
M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8
M,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194,8
M,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7
I,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9
M,0.555,0.455,0.135,0.837,0.382,0.171,0.235,9
I,0.56,0.445,0.165,0.832,0.3455,0.179,0.279,9
