sex,length,diameter,heigth,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
M,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10
M,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11
F,0.67,0.545,0.175,1.707,0.6995,0.387,0.575,13
F,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,11
F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
M,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16
M,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,7
I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5
M,0.65,0.515,0.18,1.3315,0.5665,0.347,0.405,13
F,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,14
M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20
F,0.61,0.47,0.16,1.017,0.426,0.2255,0.32,12
F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,18
I,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,5
I,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7
M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
F,0.505,0.405,0.16,0.6835,0.271,0.145,0.215,10
F,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6
F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
F,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,17
F,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15
M,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,9
I,0.295,0.215,0.075,0.116,0.037,0.0295,0.04,8
I,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15
I,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9
I,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,14
M,0.565,0.45,0.14,1.0055,0.3785,0.244,0.265,12
F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10
F,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14
F,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13
F,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,14
F,0.62,0.485,0.175,1.271,0.531,0.3075,0.37,11
M,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,16
M,0.425,0.34,0.12,0.388,0.149,0.087,0.125,10
F,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,14
M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16
M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,11
M,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,9
M,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,18
M,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8
M,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47,16
I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,9
F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10
F,0.45,0.35,0.135,0.56,0.231,0.137,0.145,13
I,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9
F,0.64,0.505,0.19,1.2765,0.4835,0.328,0.4,12
M,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11
M,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12
M,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
F,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,12
F,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,13
M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14
I,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,8
M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,18
M,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,14
F,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15
M,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15
M,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,14
M,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,15
F,0.655,0.51,0.16,1.092,0.396,0.2825,0.37,14
F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19
F,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,13
M,0.55,0.435,0.16,0.906,0.342,0.219,0.295,13
F,0.61,0.495,0.19,1.213,0.464,0.306,0.365,15
M,0.595,0.5,0.165,1.06,0.402,0.28,0.275,11
M,0.3,0.24,0.09,0.161,0.0725,0.039,0.05,6
F,0.435,0.35,0.125,0.459,0.197,0.1145,0.145,9
I,0.455,0.375,0.125,0.533,0.233,0.106,0.185,8
M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12
I,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,6
F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,5
F,0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12
M,0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9
M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7
M,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,18
F,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,13
F,0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12
F,0.595,0.475,0.165,1.148,0.444,0.214,0.37,10
M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,11
M,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9
F,0.63,0.475,0.15,1.172,0.536,0.254,0.316,11
M,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,10
F,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,10
M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,13
M,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13
I,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4
I,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,6
I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6
I,0.35,0.265,0.095,0.199,0.073,0.049,0.06,5
I,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6
I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,6
I,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,6
I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7
I,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,6
I,0.395,0.3,0.09,0.279,0.134,0.049,0.075,8
I,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,6
I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,8
I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7
F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7
M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,7
F,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9
I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8
I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8
F,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8
M,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,7
M,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,7
F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8
F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,8
F,0.555,0.42,0.11,0.931,0.4445,0.171,0.225,8
F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8
M,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,9
F,0.61,0.48,0.16,1.234,0.598,0.238,0.315,12
F,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455,10
F,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8
M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8
M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11
F,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10
M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11
M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
F,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,9
M,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,9
M,0.66,0.525,0.18,1.478,0.5815,0.381,0.372,10
F,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265,11
F,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10
M,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
F,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,9
I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3
I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4
I,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,6
I,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,6
I,0.4,0.29,0.1,0.258,0.104,0.059,0.0815,7
I,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6
I,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,7
I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,7
I,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8
I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6
I,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,7
I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7
I,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,8
I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7
F,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,8
I,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,8
I,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8
F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8
M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10
M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8
M,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8
M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8
F,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,9
M,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,8
M,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8
F,0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,9
M,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10
F,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,9
M,0.6,0.41,0.145,0.939,0.4475,0.196,0.268,8
M,0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,12
M,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10
F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11
F,0.62,0.51,0.18,1.233,0.592,0.274,0.322,10
M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10
M,0.625,0.47,0.175,1.179,0.605,0.258,0.271,9
F,0.64,0.5,0.165,1.1635,0.554,0.239,0.32,11
F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9
F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10
M,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,9
M,0.655,0.52,0.18,1.492,0.7185,0.36,0.355,11
F,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,11
F,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,9
M,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,10
I,0.63,0.49,0.17,1.217,0.5515,0.212,0.31,11
F,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9
M,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,13
M,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
M,0.65,0.52,0.17,1.3655,0.6155,0.2885,0.36,11
M,0.65,0.495,0.17,1.276,0.6215,0.2305,0.399,11
M,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10
F,0.65,0.52,0.195,1.281,0.5985,0.246,0.3825,10
M,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13
M,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12
F,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,10
M,0.65,0.525,0.19,1.3685,0.5975,0.296,0.4,11
F,0.66,0.53,0.17,1.431,0.622,0.309,0.398,10
M,0.66,0.51,0.18,1.261,0.5,0.2335,0.339,10
F,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11
F,0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,11
M,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,11
F,0.67,0.54,0.2,1.46,0.6435,0.328,0.4165,9
F,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,11
M,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11
F,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,9
M,0.685,0.55,0.19,1.885,0.89,0.41,0.4895,10
M,0.685,0.535,0.175,1.432,0.637,0.247,0.46,11
M,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,11
F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,10
M,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11
F,0.725,0.56,0.185,1.792,0.873,0.367,0.435,11
M,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,11
I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
I,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,7
I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,7
I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,7
F,0.38,0.32,0.115,0.6475,0.323,0.1325,0.164,7
M,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,9
I,0.465,0.36,0.105,0.452,0.22,0.159,0.1035,9
I,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,9
F,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,7
M,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9
I,0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455,8
M,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7
I,0.51,0.375,0.15,0.8415,0.3845,0.156,0.255,10
M,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,9
M,0.515,0.37,0.115,0.6145,0.3415,0.155,0.146,9
F,0.55,0.415,0.18,1.1655,0.502,0.301,0.311,9
F,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,10
M,0.605,0.455,0.16,1.1215,0.533,0.273,0.271,10
M,0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,10
M,0.615,0.475,0.15,1.0375,0.476,0.2325,0.283,9
M,0.625,0.48,0.18,1.223,0.565,0.2975,0.3375,10
M,0.625,0.47,0.15,1.124,0.556,0.2315,0.287,9
F,0.635,0.505,0.17,1.2635,0.512,0.322,0.355,9
F,0.65,0.525,0.165,1.238,0.647,0.2485,0.3005,9
F,0.65,0.5,0.17,1.4045,0.694,0.318,0.3235,11
F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,12
F,0.695,0.525,0.205,1.8185,0.819,0.4025,0.4525,13
F,0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,12
I,0.275,0.205,0.065,0.101,0.041,0.021,0.034,5
I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5
I,0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615,7
I,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,6
I,0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,6
I,0.43,0.33,0.095,0.32,0.118,0.065,0.123,7
I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
I,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,7
I,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435,8
I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
I,0.485,0.37,0.14,0.5065,0.2425,0.088,0.1465,8
I,0.51,0.395,0.105,0.5525,0.234,0.127,0.165,8
I,0.515,0.39,0.12,0.565,0.235,0.135,0.179,9
I,0.52,0.41,0.14,0.699,0.3395,0.129,0.1945,10
I,0.525,0.4,0.14,0.6055,0.2605,0.108,0.21,9
M,0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,9
I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
F,0.515,0.395,0.14,0.686,0.281,0.1255,0.22,12
F,0.555,0.44,0.155,1.016,0.4935,0.1855,0.263,10
F,0.61,0.5,0.18,1.438,0.5185,0.3735,0.3345,9
F,0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,11
M,0.69,0.55,0.195,1.777,0.769,0.38,0.4305,11
M,0.695,0.55,0.205,2.173,1.133,0.4665,0.496,10
F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
I,0.27,0.205,0.075,0.118,0.059,0.031,0.0305,4
I,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,5
I,0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035,6
I,0.295,0.22,0.065,0.1295,0.052,0.028,0.035,6
I,0.315,0.23,0.07,0.164,0.0625,0.04,0.045,6
I,0.375,0.29,0.095,0.2875,0.123,0.0605,0.08,6
I,0.38,0.3,0.09,0.277,0.1655,0.0625,0.082,6
I,0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6
I,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066,6
M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,8
I,0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,7
I,0.42,0.32,0.115,0.409,0.2055,0.0935,0.105,8
I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6
I,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7
I,0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,7
M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
M,0.495,0.375,0.115,0.6245,0.282,0.143,0.155,6
F,0.525,0.41,0.115,0.7745,0.416,0.163,0.18,7
M,0.565,0.455,0.15,0.9795,0.444,0.205,0.275,8
I,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,6
F,0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,6
M,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,10
M,0.63,0.48,0.185,1.21,0.53,0.2555,0.322,11
F,0.645,0.525,0.17,1.37,0.6135,0.283,0.34,10
F,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,11
M,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8
F,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11
M,0.67,0.51,0.2,1.5945,0.6705,0.3845,0.4505,10
M,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,9
M,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,10
M,0.72,0.6,0.235,2.2385,0.984,0.411,0.621,12
I,0.185,0.135,0.045,0.032,0.011,0.0065,0.01,4
I,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,5
I,0.315,0.23,0,0.134,0.0575,0.0285,0.3505,6
I,0.36,0.27,0.09,0.2075,0.098,0.039,0.062,6
I,0.375,0.28,0.08,0.2235,0.115,0.043,0.055,6
I,0.415,0.31,0.095,0.34,0.181,0.057,0.083,6
I,0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,7
I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,6
I,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,8
I,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8
M,0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,10
F,0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,9
M,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,9
F,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,11
M,0.585,0.455,0.155,1.133,0.5515,0.223,0.305,12
M,0.61,0.49,0.16,1.146,0.597,0.246,0.265,8
M,0.61,0.475,0.15,1.142,0.62,0.237,0.245,9
M,0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,9
F,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,8
M,0.625,0.505,0.175,1.131,0.5425,0.2265,0.323,8
M,0.625,0.48,0.175,1.065,0.4865,0.259,0.285,10
M,0.635,0.48,0.145,1.181,0.665,0.229,0.225,10
F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,9
M,0.66,0.505,0.19,1.4385,0.6775,0.285,0.178,11
M,0.66,0.485,0.155,1.2275,0.61,0.274,0.3,8
M,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10
F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11
F,0.69,0.58,0.195,1.658,0.708,0.3615,0.4715,10
M,0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,11
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
I,0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,6
I,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,7
I,0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,7
I,0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,6
I,0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925,8
I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,7
I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7
I,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8
I,0.485,0.365,0.09,0.651,0.3165,0.132,0.18,8
I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10
M,0.51,0.405,0.125,0.6925,0.327,0.155,0.1805,7
I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11
I,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,8
I,0.54,0.415,0.155,0.702,0.322,0.167,0.19,10
I,0.55,0.445,0.125,0.672,0.288,0.1365,0.21,11
I,0.56,0.44,0.155,0.811,0.3685,0.178,0.235,11
F,0.575,0.45,0.12,0.9585,0.447,0.169,0.275,12
I,0.575,0.45,0.15,0.858,0.449,0.166,0.215,10
F,0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236,10
F,0.58,0.46,0.135,0.926,0.4025,0.208,0.275,8
F,0.58,0.425,0.155,0.873,0.3615,0.249,0.239,10
M,0.59,0.45,0.16,0.998,0.445,0.214,0.301,9
M,0.6,0.46,0.155,0.6655,0.285,0.149,0.269,11
M,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,11
F,0.625,0.495,0.16,1.234,0.6335,0.192,0.35,13
M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9
M,0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,9
M,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,10
M,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13
F,0.625,0.485,0.165,1.2255,0.5075,0.296,0.36,10
F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,10
F,0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,9
M,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,11
F,0.69,0.535,0.185,1.826,0.797,0.409,0.499,11